team,conference,division,star_player,head_coach,playoff_seed,regular_season_wins,regular_season_losses,win_percentage,points_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game
Houston Rockets,Western,Southwest,James Harden,Mike D'Antoni,1,65,17,0.793,112.4,46,36.2,78.1,43.5,21.5,8.5,4.8
Toronto Raptors,Eastern,Atlantic,Kyle Lowry,Dwane Casey,1,59,23,0.72,111.7,47.2,35.8,79.4,44,24.3,7.6,6.1
Golden State Warriors,Western,Pacific,Stephen Curry,Steve Kerr,2,58,24,0.707,113.5,50.3,39.1,81.5,43.5,29.3,8,7.5
Boston Celtics,Eastern,Atlantic,Kyrie Irving,Brad Stevens,2,55,27,0.671,104,45,37.7,77.1,44.5,22.5,7.4,4.5
Philadelphia 76ers,Eastern,Atlantic,Joel Embiid,Brett Brown,3,52,30,0.634,109.8,47.2,36.9,75.2,47.4,27.1,8.3,5.1
Cleveland Cavaliers,Eastern,Central,LeBron James,Tyronn Lue,4,50,32,0.61,110.9,47.6,37.2,77.9,42.1,23.4,7.1,3.8
Portland Trail Blazers,Western,Northwest,Damian Lillard,Terry Stotts,3,49,33,0.598,105.6,45.2,36.6,80,45.5,19.5,7,5.2
Indiana Pacers,Eastern,Central,Victor Oladipo,Nate McMillan,5,48,34,0.585,105.6,47.2,36.9,77.9,42.3,22.2,8.8,4.1
Oklahoma City Thunder,Western,Northwest,Russell Westbrook,Billy Donovan,4,48,34,0.585,107.9,45.3,35.4,71.6,45.1,21.3,9.1,5
New Orleans Pelicans,Western,Southwest,Anthony Davis,Alvin Gentry,6,48,34,0.585,111.7,48.3,36.2,77.2,44.3,26.8,8,5.9
Utah Jazz,Western,Northwest,Rudy Gobert,Quin Snyder,5,48,34,0.585,104.1,46.2,36.6,77.9,43.3,22.4,8.6,5.1
San Antonio Spurs,Western,Southwest,Kawhi Leonard,Gregg Popovich,7,47,35,0.573,102.7,45.7,35.2,77.2,44.2,22.8,7.7,5.6
Minnesota Timberwolves,Western,Northwest,Karl Anthony-Towns,Tom Thibodeau,8,47,35,0.573,109.5,47.6,35.7,80.4,42,22.7,8.4,4.2
Miami Heat,Eastern,Southeast,Dwayne Wade,Erik Spoelstra,6,44,38,0.537,103.4,45.5,36,75.5,43.5,22.7,7.6,5.3
Milwaukee Bucks,Eastern,Central,Giannis Antetokounmpo,Joe Prunty,7,44,38,0.537,106.5,47.8,35.5,78.2,39.8,23.2,8.8,5.4
Washington Wizards,Eastern,Southeast,John Wall,Scott Brooks,8,43,39,0.524,106.6,46.7,37.5,77.2,43.1,25.2,7.9,4.3
